"id","description","name"
"__export__.security_domain_1_0786a894","Los dominios de seguridad son un atributo para ver los controles desde la perspectiva de dominios de seguridad de la información, #Gobierno_y_Ecosistema incluye:

Gobierno de seguridad del sistema de información y gestión de riesgos
Gestión de ciberseguridad del ecosistema (incluidas las partes interesadas internas y externas) ","#Gobierno_y_ecosistema"
"__export__.security_domain_2_d4d9c157","Los dominios de seguridad son un atributo para ver los controles desde la perspectiva de dominios de seguridad de la información, #Protección incluye:

Arquitectura de seguridad de TI
Administración de seguridad de TI
Gestión de acceso e identidad
Mantenimiento de seguridad de TI
Seguridad física y ambiental","#Protección"
"__export__.security_domain_3_0ea82689","Los dominios de seguridad son un atributo para ver los controles desde la perspectiva de dominios de seguridad de la información, #Defensa incluye:

Detección
Gestión de incidentes de seguridad informática","#Defensa"
"__export__.security_domain_4_01983f31","Los dominios de seguridad son un atributo para ver los controles desde la perspectiva de dominios de seguridad de la información, #Resiliencia incluye:

Continuidad de operaciones
Gestión de crisis","#Resiliencia"
