"id","description","name"
"__export__.third_party_1_a9038526","Cloud platform offered by Amazon.","AWS"
"__export__.third_party_2_41f5e952","Cloud computing platform run by Microsoft.","Azure"
"__export__.third_party_3_5dd32b04","Google Cloud Platform, offered by Google.","Google Cloud"
"__export__.third_party_4_b63aa3ad","DigitalOcean is a cloud hosting provider that offers cloud computing services and Infrastructure as a Service (IaaS).","Digital Ocean"
