"id","impact_level_id","probability_level_id","description","risk_level_id"
"__export__.inherent_risk_level_1_602a8df2","High","High","High Risk","High"
"__export__.inherent_risk_level_2_540bc124","High","Medium","High Risk","High"
"__export__.inherent_risk_level_3_6bb12428","High","Low","Medium Risk","Medium"
"__export__.inherent_risk_level_4_6a688c1e","Medium","High","High Risk","High"
"__export__.inherent_risk_level_5_0e291491","Medium","Medium","Medium Risk","Medium"
"__export__.inherent_risk_level_6_1978f6fa","Medium","Low","Low Risk","Low"
"__export__.inherent_risk_level_7_fbe53787","Low","High","Medium Risk","Medium"
"__export__.inherent_risk_level_8_d1895310","Low","Medium","Low Risk","Low"
"__export__.inherent_risk_level_9_e8db0e2f","Low","Low","Low Risk","Low"
